time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-25 00:00:00+00:00,89,29,3,3
2026-06-26 00:00:00+00:00,24,12,0,0
2026-06-27 00:00:00+00:00,26,14,1,1
2026-06-28 00:00:00+00:00,55,25,0,0
2026-06-29 00:00:00+00:00,33,18,1,1
2026-06-30 00:00:00+00:00,43,28,0,0
2026-07-01 00:00:00+00:00,43,23,2,2
2026-07-02 00:00:00+00:00,45,25,5,1
2026-07-03 00:00:00+00:00,45,24,1,1
2026-07-04 00:00:00+00:00,45,21,0,0
2026-07-05 00:00:00+00:00,39,22,1,1
2026-07-06 00:00:00+00:00,33,21,1,1
2026-07-07 00:00:00+00:00,39,17,1,1
2026-07-08 00:00:00+00:00,50,25,0,0
