time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-11 00:00:00+00:00,27,18,,
2025-06-12 00:00:00+00:00,28,20,,
2025-06-13 00:00:00+00:00,27,20,,
2025-06-14 00:00:00+00:00,24,18,1.0,1.0
2025-06-15 00:00:00+00:00,34,25,3.0,1.0
2025-06-16 00:00:00+00:00,34,26,3.0,1.0
2025-06-17 00:00:00+00:00,28,19,,
2025-06-18 00:00:00+00:00,26,19,2.0,2.0
2025-06-19 00:00:00+00:00,24,16,1.0,1.0
2025-06-20 00:00:00+00:00,18,11,3.0,2.0
2025-06-21 00:00:00+00:00,22,16,2.0,1.0
2025-06-22 00:00:00+00:00,21,14,,
2025-06-23 00:00:00+00:00,29,20,,
2025-06-24 00:00:00+00:00,24,18,,
