time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-13 00:00:00+00:00,54,21,3,3
2026-05-14 00:00:00+00:00,49,24,1,1
2026-05-15 00:00:00+00:00,41,27,3,2
2026-05-16 00:00:00+00:00,24,15,9,8
2026-05-17 00:00:00+00:00,35,21,7,3
2026-05-18 00:00:00+00:00,50,19,11,3
2026-05-19 00:00:00+00:00,42,27,1,1
2026-05-20 00:00:00+00:00,39,22,0,0
2026-05-21 00:00:00+00:00,50,21,2,2
2026-05-22 00:00:00+00:00,40,24,0,0
2026-05-23 00:00:00+00:00,36,27,2,2
2026-05-24 00:00:00+00:00,36,19,1,1
2026-05-25 00:00:00+00:00,59,27,1,1
2026-05-26 00:00:00+00:00,56,21,1,1
